adduser	3.118
libgcrypt20	1.8.7-6
libgmp10	2:6.2.1+dfsg-1+deb11u1
libgnutls30	3.7.1-5
libgpg-error0	1.38-2
libgssapi-krb5-2	1.18.3-6+deb11u1
libhogweed6	3.7.3-1
libicu67	67.1-7
libidn2-0	2.3.0-5
libip4tc2	1.8.7-1
libisc-export1105	1:9.11.19+dfsg-2.1
libjson-c5	0.15-2
libk5crypto3	1.18.3-6+deb11u1
libkeyutils1	1.6.1-2
libkmod2	28-1
libkrb5-3	1.18.3-6+deb11u1
libkrb5support0	1.18.3-6+deb11u1
libksba8	1.5.0-3
libldap-2.4-2	2.4.57+dfsg-3+deb11u1
liblmdb0	0.9.24-1
liblocale-gettext-perl	1.07-4+b1
liblz4-1	1.9.3-2
liblzma5	5.2.5-2.1~deb11u1
libmaxminddb0	1.5.2-1
libmd0	1.0.3-3
libmnl0	1.0.4-3
libmosquitto1	2.0.11-1
libmount1	2.36.1-8+deb11u1
libncursesw6	6.2+20201114-2
libnettle8	3.7.3-1
libnpth0	1.6-3
libnsl2	1.3.0-2
libp11-kit0	0.23.22-1
libpam-modules-bin	1.4.0-9+deb11u1+rpt1
libpam-modules	1.4.0-9+deb11u1+rpt1
libpam-runtime	1.4.0-9+deb11u1+rpt1
libpam0g	1.4.0-9+deb11u1+rpt1
libpcre2-8-0	10.36-2
libpcre3	2:8.39-13
libprotobuf-c1	1.3.3-1+b2
libreadline8	8.1-1
librrd-dev	1.7.2-3+b2
libsasl2-2	2.1.27+dfsg-2.1+deb11u1
libsasl2-modules-db	2.1.27+dfsg-2.1+deb11u1
libseccomp2	2.5.1-1+rpi1+deb11u1
libselinux1	3.1-3
libsemanage-common	3.1-1
libsemanage1	3.1-1+b1
libsepol1	3.1-1
libsmartcols1	2.36.1-8+deb11u1
libsqlite3-0	3.34.1-3
libss2	1.46.2-2
libssl1.1	1.1.1n-0+deb11u2+rpt1
libstdc++6	10.2.1-6+rpi1
libsystemd0	247.3-7+rpi1
libtasn1-6	4.16.0-2
libtext-charwidth-perl	0.04-10+b1
libtext-iconv-perl	1.7-7+b1
libtinfo6	6.2+20201114-2
libtirpc-common	1.3.1-1
libtirpc3	1.3.1-1
libudev1	247.3-7+rpi1
libunistring2	0.9.10-4
libuuid1	2.36.1-8+deb11u1
libuv1	1.40.0-1
libxml2	2.9.10+dfsg-6.7+deb11u2
libxtables12	1.8.7-1
libxxhash0	0.8.0-2+rpi1
libzstd1	1.4.8+dfsg-2.1+rpi1
locales	2.31-13+rpt2+rpi1+deb11u2
login	1:4.8.1-1
logsave	1.46.2-2
lsb-base	11.1.0+rpi1
lsb-release	11.1.0+rpi1
make	4.3-4.1
man-db	2.9.4-2
manpages	5.10-1
mawk	1.3.4.20200120-2
mosquitto-clients	2.0.11-1
mosquitto	2.0.11-1
mount	2.36.1-8+deb11u1
ncurses-base	6.2+20201114-2
ncurses-bin	6.2+20201114-2
netfilter-persistent	1.0.15
openssh-server	1:8.4p1-5+b1
passwd	1:4.8.1-1
perl-base	5.32.1-4+deb11u2
pinentry-curses	1.1.0-4
python3-requests	2.25.1+dfsg-2
python3-setuptools	52.0.0-4
python3-venv	3.9.2-3
python3.8-dev	3.8.7-1
raspberrypi-bootloader	1:1.20220331-1
raspberrypi-kernel	1:1.20220331-1
raspberrypi-sys-mods	20220224
raspbian-archive-keyring	20120528.2
readline-common	8.1-1
rsyslog	8.2102.0-2+deb11u1
sed	4.7-1
sudo	1.9.5p2-3
systemd-timesyncd	247.3-7+rpi1
systemd	247.3-7+rpi1
sysvinit-utils	2.96-7+deb11u1
tar	1.34+dfsg-1
tedge	0.7.0
tedge_agent	0.7.0
tedge_apama_plugin	0.7.0
tedge_apt_plugin	0.7.0
tedge_mapper	0.7.0
tnat64	0.05-1
tzdata	2021a-1+deb11u2
udev	247.3-7+rpi1
unattended-upgrades	2.8
util-linux	2.36.1-8+deb11u1
vim-nox	2:8.2.2434-3+deb11u1
wget	1.21-1+deb11u1
zlib1g	1:1.2.11.dfsg-2+deb11u1
